Title,Description,Image URL
KUDING TEA,"SACM Kuding Tea is a particularly bitter-tasting Chinese tisane. The traditional medicinal properties associated with Kuding tea are to disperse wind-heat, clear the head and the eyes, and resolve toxin, thus being used for common cold, rhinitis, itching eyes, red eyes, and headache. It is also said to calm fidgets and alleviate thirst, especially when one is suffering from fever or severe diarrhea. It transforms phlegm and alleviates coughing, thus used in treating bronchitis. It is also recorded to invigorate digestion and improve mental focus and memory. Modern research suggests that it can promote blood circulation, lowers blood pressure, and lowers blood lipids, including cholesterol. It has the reputation of preventing deterioration of the heart and brain function and maintaining proper body weight. It has also been found that Ku Ding tea has similar anti-oxidative effects to tea in addition to additional anti-inflammatory properties. | [Ingredient] Broadleaf Holly Leaf. | [Actions] To promote blood circulation, lower blood pressure, and lower blood lipids, including cholesterol, disperse wind-heat, clear the head and the eyes, and resolve toxin, calm fidgets and alleviate thirst, transforms phlegm and alleviates coughing, invigorate digestion and improve mental focus and memory, maintaining proper body weight. | [Indications] It used for preventing deterioration of the heart and brain function and maintaining proper body weight, common cold, rhinitis, itching eyes, red eyes, and headache, diarrhea, bronchitis",https://lh3.googleusercontent.com/sitesv/AA5AbUAgIMIQRdrUMuoVtmmrN4kIXyN7nFuH4srQCDB2NtPVTAoCF3HxmQ3Zfa8tPC06KjgSM-ZMglcpI3e2oDOsGD4Yt3sCK7SFrmC_mpg2K9hZLMjCkB9VTHR4NbBrmkUX-lJ-G8hKZ6-kcPLLLkYghsxOAJAJ3dPpMrbdZaIJMKAuW_fhAa4Rnh8NO2-RetztTf8qISMT9_n3ojDDRSzsSP_PRuPHUpgjEdftulY=w1280
LIBIDO UP TEA,"Libido Up Tea is formulated with high quality herbs. These herbs are safely used as traditional medicines for many centuries, and the health benefits have been approved by modern scientific research. | Ingredients: Salt Fried Chive Seed, Psoraliae Fruit, Complanate Astragalus Seed, Rosa Laevigata, Salted Fenugreek Seed, Chinese Dodder Seeds, Alpinia Fruit, Green Tea.",https://lh3.googleusercontent.com/sitesv/AA5AbUD6u9EVQHVB3qMQJphOd5tWEzPxUh7h5-DkiX6nVQiEPLqH4LIcvvLs9v8vucQG7y3xFC_jGx6gKEe8tzqmu5WXSRfYbRH96dHC_9GMS3tALLd4N0gij9e0JJpcXC4o2yOrJw0DHeYfsPZrVNHiU4-K0nt76GY_JrpiCOfX2GrMLIY_WKONTxkl4CcijwjaCnPrVfKPNCpywJJnhr5v7PGpn6N4F-yRH85o5YE=w1280
LIVER CARE TEA,"[Main Ingredients] Chinese Date, Oriental Wormwood, Green Tea. | [Actions] Clean the liver heat, dispel stagnation. | [Indications] For woman and man, old and yang people to protect and strengthen the liver. Drinking regularly can prevent hepatitis.",https://lh3.googleusercontent.com/sitesv/AA5AbUD5fGJIEgqzqGO2hkH_GBHYKDqoSSev1wTR1jINHSFj1yEUgg6Olhj12xvGxD6MBE1h6WvMG5ewvxP4nX8ooDSEzLhYw8pxIqP-evRgYAgckDHgmD048IUzX-zVM94k7E-hD8a8Dm3S3p8eYITc_Af80Vg_SrCZav7vmlU3DW-1w_gtOYJ48PdZJ67FYCTEeJyhzdi6hUiq44C0KYANSGbcPo8KeFmCpYfS=w1280
LUNG CLEANING TEA,"SACM Lung Cleaning Tea is formulated with high quality herbs, which are commonly used for clean the lung and throat in Chinese medicine theory. It is effective for clean heat and phlegm in lung and throat. | [Ingredients] | Bamboo leaves, Loquat Leaves, Honeysuckle Flower, Reed Rhizome, Platycodon Root, and Green Tea. | [Actions] To clean heat in the lung, reduce phlegm, stop coughing, help produce saliva and slake thirst. | [Indications] For lung heat, phlegm, cough and dysphoria.",https://lh3.googleusercontent.com/sitesv/AA5AbUBN3TVziRjr_u6khpJBwo-7VaiCk9PCLERtqrMlG3IuYasTklZrsPmKoWNhJ8F6O0QTLeNqbdKrQ8VT9ncZaE0kEiAFrKEro-fyG7i-a7u1bzjoPQyzEVXYUMd0UAK6AnWOczGX8dRH4f2FYGzRik_wYWNIES3g-RVyfUVTNUuVl2Wc4mb62nlGLd5eeNzsZG7ATFsnnxfPJgSTX9bi2y6Gs2ijyWvbgcJFXSk=w1280
MENOPAUSE TEA,"Menopause Tea is used as an estroven balancing herbal blend to help reduce stress, irritability and improve mental clarity. | Ingredients: Angelica Root, Anemarrhena Rhizome, Baical Skullcap Root, White Peony Root, Bupleurum Root, Radix Ophiopogonis, Green Tea.",https://lh3.googleusercontent.com/sitesv/AA5AbUBso6dcOfOPSI25hKNJtk741tVK9egeZ2T4P4LruoCU9-KUSBu71rcsFhu-tjgBf7IWPhJtSh4uunbC8uqOPxyWKFM1VlEgiAaEk08hpwlvxYzWDn-Nlh07-xuVeef6Kt_9xahpHoT6HLmQqEC1UsSG7C6WcjBzXcf7KsPzL_fR7jTVl7mQI2ytYuHADMTh-p-F-CM-1A7TTp-XK0b9zvSeTgS9Zu16f1aX=w1280
MENSTRUATION REGULATING TEA,"[Main Ingredients] Rose, rosa chinensis， Angelica Root, Chuanxiong, Motherwort,  Jasmine Tea. | [Actions] To regulate menstruation, promote blood circulation and relief pain. | [Indications] For menoxenia, dysmenorrhea and hypomenorrhea.",https://lh3.googleusercontent.com/sitesv/AA5AbUAbbKMguObHsFkbhHpVWEqUJaWbxKynqqoa4IYMZA0bd86gnnj_lDiCWQipstE1nmdaeRClaJic59st5kjpnSS3kwwmuPv9RcS-H42mvsZaGwKvGpp-ntIaFBXpPgeSRDnu2a-3kmkNGRjWNwCp6idf0c4fHcqiXvbYRI3KaXxijGn8eGLlqdWBKFyERSeit7WgqmlmPGRQOVCJh9ym2OFO-V0rSz43WBZUGbE=w1280
MORINGA TEA,"Moringa oleifevra is known as ""Miracle Tree"". It contains a profile of important minerals, and is a good source of protein, vitamins, beta-carltene, amino acids and I various phenolics.Ingredients: Moringa Olifevra leaves, Green Tea.Suitable for: Any age people.",https://lh3.googleusercontent.com/sitesv/AA5AbUC2TlRn5snlPOeR0xDa9d3sEnrnIOHif_XT2W73bI5AWIzhU7wwJeVw2i8OSTbJdptlLWkbMYdAzgz5VrZqahP34wqQwX9QQDsvor6yDYqChmGWr0tvqy77pMbTaJMC7rMrPJZyNuYpt9gK8mJj0bL-vaTADCbIFOgSXkKVn6BVgnU3B7EnUW7PhMp6oikz1wgWKW-CEmiZFiil7zoy3zWLuK_FrvP2b-h_VN0=w1280
OOLONG TEA,"Ingredients: Oolonig tea leaves. | Health benefit: Oolong tea is semi-fermented tea, which is a special type of Chinese tea. It helps to anti-fatigue, lose weight, prevent cancer, lower blood lipid, anti-aging, etc. | Suitable for: Any age people",https://lh3.googleusercontent.com/sitesv/AA5AbUChkZwm_A6J1kexG4bmRCLgrjlewEWxsA2NXgSmrJvW6ABPGbA8IOriM22pAYPqeCiLgBRA7Hx-bnnfOm_OMknH-8vrs9vKVEUV0sQgVut3DmdJycPWa_Is0fvIDsd1XCzjlks8TtYVQRfwSWbPONWZbW23ZuYUoh46gOtYfwhsAVrc-_UVIX1YYK0QzwwBAMNTDGah70thnb35pzrbp8Gd26ewwtAuDsliw0E=w1280
PROSTATE CARE TEA,"Prostate Care Tea is formulated with high quality herbs. These herbs are safely used as traditional medicines for many centuries, and the health benefits have been approved by modern scientific research. | Ingredients: Plantago Seeds, Cyathula Root, Ophiopogon Tuber, Vaccaria Seeds, Tree Peony Root Bark, Notoginseng Root, Licorice Root, Green Tea.",https://lh3.googleusercontent.com/sitesv/AA5AbUDH3BYZA-81Z0RlI0ksbABDjiUWhfILoaHPpZzj2g_UCdbOyGae3hkrSPoaU0lgo0bIDgcsAWZYBM6Ez63UBpNu8ZXXsfCe8M6VIjL14h3uNte4P8hpf_rrmJpyEj2JUnyqB_bvzj5yJVTpdNTmvw3sFuSnDbWIIqbJ5sAht7o0Tt2Roi18vklepEapxklOwcmmBx2kRAtUwjt4DQjOO7Bgs3kds8L2_OQU=w1280
QUIT SMOKING TEA,"Ingredients: Wax Gourd Seeds, Perilla Leaf, White Mustard Seeds, Thinleaf Milkwort Root, Lily Bulbs, Platycodon Root, Common Coltsfoot Flower and Ganoderma Lucidum. | Health benefit: It helps to calm mind and relief dysphoria, promote production of body fluid and nourish the lung and recover the damage caused by smoking in lung. | Suitable for: Smoking people or people in air pollution area.",https://lh3.googleusercontent.com/sitesv/AA5AbUApCOwGVJIiCfYsEjS6m1bckqDyJ2ztOHmK_Vp5zjtfA4XUm1Ff26puUf2CgqdIFO8xMOSTEcNpNI_yHvqEb4pYQcts4vMLzVO477Matg8v-Mx7-_VRNNOROjjBEoLfw_t3PiMsUuOhgYYn7FZz2MJhba2IgWaF9zn8t7CZ5-tPWGDwUsdV3sQvGvTz4gkHyT6ac-YWf5cI8CVFSGGZfaJLOHSYImBOt1bkD2Q=w1280
RED FLOWER GREEN TEA,"Ingredients: Safflower, Green Tea, Chinese Angelica, Salvia Root and Ligusticum wallichii. | Health benefit: It helps to promote blood circulation, dispel blood stasis, soften blood vessel and prevent thrombus. | Suitable for: People with hyperlipidemia, hypertension and stroke. | This tea has sweet smelling flavor of the natural herb.",https://lh3.googleusercontent.com/sitesv/AA5AbUBjW7UIhD5_pT6r7ioVjoaeZz9jQUgaGHSGVQeffsKuM9jR52wlFFH07Go3FYUhjPwtSkF7_vD2co6NH_u83H0wPRkkVhdRz__z3hno6Q__9ZLMpQR5byawDtCFzRsPZSiL5iipy_9wA9jQORfc5bIIBFtUtXKWmblm03uS4hHOstjUM4_DccVjrb2opyuAXcyfZyHtCweOkCU91QrUTvpG6x50bxnBZmz5GxU=w1280
SEX TEA,"SACM Sex Tea is formulated with high quality natural herbs, which are approved with effective function to improve male sexual activity. | [Ingredients] | Platycodon Root, Cynomorium, Epimedium Root, Black Tea. | [Actions] | To nourish kidney, produce vigor and strengthen Yang. | [Indications] | For weak sexual activity, impotence and early ejaculation.",https://lh3.googleusercontent.com/sitesv/AA5AbUDFbx6ZzLONao3OJkOdYeSIjwQ57Fq-_uewDtqfAH52B5g2y9edgZHHcfJy9uf-MdRT43x_z3aX3xKpftusRqV_wL9tcrLXQ7O-OkfTG6t8j-KWo4M5p0mbgCv-PRLOFMD4-4wLTECHzz3IGtDcWwsb9aWrtd8-IKX3EF-04Nxij6Z1k0RdvqbOobzZYwsEoenBe0YY3B7tshlIUA8D2OAv06Eg8HVX-gqMh6g=w1280
SKIN LIGHTENING TEA,"Skin Lightening Tea is formulated with high quality herbs. These herbs are safely used as traditional medicines for many centuries, and the health benefits have been approved by modern scientific research. | Ingredients: Peach Flower, Rose Flower, Angelica Root, Fragrant Solomon's Seal Root, Green Tea.",https://lh3.googleusercontent.com/sitesv/AA5AbUAujp3b9HSHHIVyO2ZJJi1gjngQGuI54AdZ3nsEhD4Q_asZn-hwNIH_8PZD7hUNPDymzemV1yrAriOLHQtp2U3241zQ7wx9FmunuY5Ic5Bd7vjgNUmsUQjtix_kWVGjknRDc4wWBQRTYwM12RCcWUPQEei5I9l7X6sSPy7yPC0Ffa9ajfaisEgJBtZ1TkZ9TZJM53PaRRzM9wVqcv68ztsvlKh4CMqQUEAFnQI=w1280
SLIM TEA,"SACM Slim Tea contents lipids decomposition enzyme which can accelerate the decomposing of lipids, and it also rich in many kinds of organic acids which can help the digesting and decomposing of high-fat food. So it can basically reduce weight and lipids. The cyclocarya leaves have the function of nourishing skin, it can make the skin recover elasticity when the weight is reduced, so it can prevent wrinkle in the skin. | [Ingredients] | Cassia Seed, Hawthorn Fruit, Perilla Fruit, Hangzhou Chrysanthemum Flower, Cyclocarya Leaves, Green Tea. | [Actions] | To reduce fat and decompose lipid. | [Indications] | For over weight and high blood lipid.",https://lh3.googleusercontent.com/sitesv/AA5AbUDr4VV4aRkyAIjiI13-hIYox43z5qvePL0XwIsCFEHET8S5z7zVpXFiNL7awi7XJNLSI5g4WdrWbjuZ_NSfkxTRYOyv0iDjjd_AsNpa5VeFn6BYR4h-53DkdZW5DYLFIo05mQAfOGSyGxkEO0i60Qfeff7OlcJAdDgy49ODKwozauXNrl3Vx2vkb-GOoOmOixGSwJrwNNpv4IS4BYuP3DllzoPmGMX2xGNe0Zc=w1280
SUGAR BALANCE TEA,"SACM Sugar Balance Tea is a kind of Chinese herbal tea, which is made from high quality Chinese herbs, under the direction of Chinese Medicine theory, formulated with high technology and researched meticulously. Drinking the tea often can make an effective defence for pancreas, active the Islet cells, improve the Islet function, enhance the secretion of insulin, promote the utilisation of glucose. It has good effect for diabetes patients who have not been cured for a long period. | [Main Ingredients] Milkvetch Root, Cyclocarya Leaves, Chinese Yam, Green Tea, etc. | [Actions] To enhance the secretion of insulin, strengthen the kidney, tonify the spleen, nourish the lung and enrich the essence. | [Indications] To be used for diabetes.",https://lh3.googleusercontent.com/sitesv/AA5AbUCzCceL58A7uCLRILVbkRKzF3CGcLDTKjdpMH2qMMwDqo9rnrc8Wx_x7eTgO96EekvxdaqvrdRpt_U2AtrVkIXKkPCzCHrcwieApAz4SHH-3LIy091xyCY6HWk6KlEYaJjrj6nZxtyCtxLdwz3DfXNqTcxQI0DWolINb_eYydWclCXerXrCjKjrM0NoZHmimsbf-jBxCRSMYTy87haJunSArr14d-LsblFB=w1280
THREE FLOWERS TEA,"Ingredients: Wild Chrysanthemum Flower, Honeysuckle Flower, Fructus Gardeniae, Cane Sugar. | Health benefit: Helps to clearing heart, detoxify, relieve sore throat, prevent flu and lower blood pressure. | Suitable for: Any age people.",https://lh3.googleusercontent.com/sitesv/AA5AbUAwg8hPbsVvWuJuryI5SbU9LDmW1GuuciO4HlWjnQwsnQzU3X1lCXTXtQZ2DbF23woeXjazkB1WQ2DvDK6i7Lpbq-v0j81TbMrw8b8qpKU2lKXh54H1ZsydTtzJOGBfT6G8WZTtqePf-fbyAVb3npuxJ-TCxsOYv1be1JQHoAeygRoOyUgPU3x6q5Op5c6wUyx67yRRhwIzdwuZlVxxEiQu5vjcNID-P9u5yW0=w1280
WALNUT TEA,"Walnut Tea is rich source of energy and hold several health benefiting nutrients, minerals, antioxidants and vitamins that are essential for optimum health and wellness. It can nourish heart and brain. | [Ingredients] Walnut Kernel, Gynostemma pentaphyllum and Green Tea.",https://lh3.googleusercontent.com/sitesv/AA5AbUAFYcoUGI7Jl5ShZgKQ4daWozrnYQcisUNJz3Z2KAzU7l5FJ0hlXILdDKWonh8qjbXAz30XDzn2FLtCIEOeA6II04ka40KkHcDHljnDGZJkwCbnvSs7qjbhQdEwnlD3XANstm_UUqMJg-VeMGT1tpyjwJab4Hlmv68ewFm86ZS7agNdviF7QzFis_OpdrI2IxmtJKdrjfl_TQ8-zpTK4O-MRSrfJhPaFvOGqxI=w1280
WHITE GOURD SLIM TEA,"Ingredients: Fleeceflower Root, White Gourd Peel, Pagodatree Pod, Hawkthorn Fruit, Oolong Tea. | Health benefit: It helps to lose weight and lower blood lipid. | Suitable for: Simple obesity and hyperlipidemia people.",https://lh3.googleusercontent.com/sitesv/AA5AbUCBhy491qsK0r_YW7Y1HVhA2ZjgYM12airfn2nhgy3woSlgDqV0iYNEJcLzj6EeMHAgGDOf2ea2AcN0xCJfibVDYS0CZw75uYq0e7lQoDR1QyhQ-F72eFHkGH4d64cYiFg_2M8g7Eaogeq09oDvmnoZTjuek7soOhNOgV5BbZnei8umfXJ4_TjzG7k2lWPzBqhBjDKBjIj9dq7uKpEenLkZhCEAWL0aZv2Y0E0=w1280
WOMB CARE TEA,"Womb Care Tea is formulated with high quality herbs. These herbs are safely used as traditional medicines for many centuries, and the health benefits have been approved by modern scientific research. | Ingredients: Asian Motherwort, Angelica Root, Rhizoma Chuanxiong, Licorice Root, Green Tea.",https://lh3.googleusercontent.com/sitesv/AA5AbUD9QuF_cf2gC3hEl0jX8IYeNSKEYYa1Rq1xTf2wd3J_4PlyrIBYXoyt16FrhNtGR-7wmRNeB1NjB6sAvRmYfkYnrB2ZfMSBuE5TOX4QmkTfVij-bzgVpgn574uDQgl9ZflTxZJndngUkPNUvJLp_oh4v066oUtGikvQL2Wlfhpy7dtczlxFSOlIkqy3GJbATacfVx_Ujz-D7XS9PS5wUnozU3-5Jy-v9p5oIO0=w1280
